ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D263002H100A5002+01AA06811+5,378.005615,75,47.455,86,42.294,188.5631022,-6.36E-15,0.352882893,8.50E-05,2.36E-08,195.2196541,-1.88E-14,0.351637314,8.88E-05,2.74E-08,146.2789317,-0.212223664,0.001704907,134.8476978,-0.175322357,0.001701707
UC4D263002HX00A5002+01AA03009+5,371.71914,79,44.8,83,42.294,181.1248225,4.44E-15,0.359515226,8.71E-05,2.29E-08,187.3775467,-1.55E-15,0.365669817,9.00E-05,2.53E-08,207.708352,0.140848265,0.001552551,169.3420796,0.022934504,0.001661303
UC4D263002JC00A5002+01AA03024+5,378.174875,80,44.8,87,42.294,187.1807694,1.50E-14,0.354897978,8.47E-05,2.24E-08,184.2030485,1.34E-14,0.349786038,8.27E-05,2.26E-08,186.2466027,-0.027664679,0.001710496,197.380144,-0.137465915,0.001636768
UC4D263002JV00A5002+01AA06309+5,382.27085,80,44.8,81,44.8,193.3189051,2.45E-14,0.361047161,8.91E-05,2.36E-08,180.0178201,-1.06E-14,0.355038282,8.62E-05,2.58E-08,112.7799458,-0.003912591,0.001726492,157.6344008,-0.104122295,0.001646196
UC4D263002KK00A5002+01AA05701+5,378.335035,80,44.8,85,42.294,183.042987,-1.78E-14,0.356334218,8.53E-05,2.37E-08,169.9194875,7.19E-15,0.358466888,8.32E-05,1.99E-08,111.3171677,0.164451966,0.001749414,137.990348,-0.095941521,0.001712665
UC4D263002LB00A5002+01AA05727+5,372.27281,81,42.294,79,44.8,177.1658656,1.60E-14,0.367814551,9.23E-05,2.80E-08,195.8777554,-1.35E-14,0.365770144,9.55E-05,2.93E-08,124.98454,-0.219422686,0.00163315,178.5158297,-0.282751137,0.001614084
UC4D263002LW00A5002+01AA03414+5,376.466935,76,44.8,87,39.928,177.7183031,5.77E-15,0.371929526,9.02E-05,2.19E-08,176.9546248,1.21E-14,0.36632382,8.78E-05,2.34E-08,199.8177708,-0.062653571,0.001583495,159.5279824,-0.052196853,0.001610014
UC4D263002M200A5002+01AA03420+5,379.28696,78,44.8,82,44.8,178.8777684,-2.08E-14,0.359329856,8.66E-05,2.41E-08,187.9273325,1.17E-14,0.348618667,8.14E-05,2.22E-08,135.8205218,-0.006850103,0.001710514,124.356838,-0.088156974,0.001710494
UC4D263002P600A5002+01AA01428+5,380.99334,82,42.294,83,44.8,184.3158421,-7.19E-15,0.364725217,9.20E-05,2.81E-08,189.5112583,-7.77E-16,0.343420285,8.24E-05,2.57E-08,196.8470072,-0.042964522,0.001693657,130.5744402,-0.123748481,0.001658702
UC4D263002PD00A5002+01AA05603+5,381.741555,80,42.294,84,42.294,181.8097929,1.70E-14,0.371193356,9.43E-05,2.90E-08,181.1873457,-1.30E-14,0.356248679,9.08E-05,2.83E-08,101.8859575,-0.103233431,0.00171864,125.588755,-0.094303514,0.00168948
