ActuatorSN,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,aps_strokeMax_um,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,sph_S1_gain,sph_S1_OOVreg,sph_S2_gain,sph_S2_OOVreg,sph_strokecenter_x_sensor_offset_lsb,sph_strokecenter_y_sensor_offset_lsb
UC4D262001HK00A5002+01AA10625+5,196.8899148,-0.013299119,0.001682732,155.0423397,0.112039683,0.001642797,377.14144,-1.37E-14,0.374481014,9.58E-05,2.84E-08,7.92E-15,0.343562697,7.99E-05,2.21E-08,42.294,87,39.928,84,183.1829063,170.6798829
UC4D2620025A00A5002+01AA01928+5,206.6441866,-0.247717497,0.001619697,145.3803226,-0.159342493,0.001723793,377.74854,1.95E-14,0.359869683,8.79E-05,2.55E-08,2.05E-15,0.345764818,8.29E-05,2.74E-08,42.294,86,42.294,83,187.5185736,173.0075208
UC4D262000ZH00A5002+01AA05019+5,154.58406,-0.029698346,0.001695569,193.4136879,0.140668444,0.001632221,376.382695,-1.44E-14,0.363434367,8.99E-05,2.66E-08,-9.60E-15,0.343340868,8.48E-05,2.55E-08,42.294,87,42.294,82,177.5204105,184.3986047
UC4D262001TK00A5002+01AA07413+5,119.8333792,-0.030810287,0.001749541,122.3964141,0.011703234,0.001713471,376.88729,1.53E-14,0.353810197,8.47E-05,2.33E-08,1.45E-14,0.345108246,8.13E-05,2.51E-08,42.294,86,42.294,84,191.4145174,179.1623417
UC4D262001Z500A5002+01AA10111+5,138.2610407,-0.01230164,0.001701185,142.5833233,0.148573556,0.001605256,376.16735,-1.52E-14,0.379010226,9.80E-05,3.00E-08,8.49E-15,0.343035685,8.14E-05,2.43E-08,42.294,88,42.294,80,182.2478104,175.530265
UC4D262001Z700A5002+01AA10113+5,163.3818808,0.08708908,0.001680074,154.8337307,0.136090507,0.001654156,377.8606,-8.94E-15,0.370229597,9.19E-05,2.46E-08,-7.08E-16,0.336028057,7.73E-05,2.21E-08,44.8,85,42.294,82,185.8429677,175.2329198
UC4D262000ZK00A5002+01AA05021+5,85.00273378,-0.133243278,0.001717955,180.7495466,0.02648449,0.001645942,379.03762,-4.80E-15,0.36993768,9.16E-05,2.50E-08,1.08E-15,0.357954467,8.65E-05,2.55E-08,42.294,84,44.8,77,184.3231248,173.9688025
UC4D262001DP00A5002+01AA10121+5,134.3627283,-0.13827171,0.001786461,153.280924,-0.179382177,0.001661143,383.072755,1.22E-14,0.368350844,9.28E-05,2.79E-08,-6.27E-15,0.337753952,8.26E-05,2.43E-08,39.928,95,44.8,77,183.8391918,186.9981253
UC4D262000ZM00A5002+01AA05023+5,162.3160433,-0.054669256,0.001693509,105.6374795,0.065702464,0.001732923,380.041675,2.19E-15,0.358484678,8.90E-05,2.37E-08,8.60E-15,0.337017833,7.84E-05,2.30E-08,44.8,85,47.455,75,196.3939509,176.7603014
UC4D2620025700A5002+01AA01925+5,184.3120033,-0.275372687,0.001702373,182.2109896,-0.121376307,0.001706134,377.568945,-1.21E-14,0.359042664,8.76E-05,2.48E-08,-1.90E-14,0.343337744,8.14E-05,2.42E-08,44.8,81,42.294,82,183.7999439,177.8853391
UC4D2620025C00A5002+01AA01930+5,194.5997881,-0.246504467,0.001698253,189.9843823,-0.134216733,0.001664655,383.021795,-1.30E-14,0.36406998,9.18E-05,2.74E-08,5.75E-15,0.348590386,8.83E-05,2.84E-08,42.294,86,42.294,81,182.1656185,178.5577283
UC4D2620011400A5002+01AA09010+5,157.9630009,-0.097973407,0.001602045,137.2714402,-0.111415762,0.001579111,380.350425,3.55E-15,0.380033324,9.26E-05,2.16E-08,5.19E-15,0.35465112,8.64E-05,2.63E-08,42.294,85,42.294,80,184.5784974,175.446981
UC4D262001D900A5002+01AA10107+5,157.5831421,-0.299836969,0.001730627,246.2051602,-0.160238741,0.001590156,379.284815,1.54E-14,0.360137868,8.76E-05,2.41E-08,-7.27E-15,0.332294724,7.54E-05,2.16E-08,44.8,85,44.8,79,194.3292324,181.0577391
UC4D2620011200A5002+01AA09008+5,141.5006018,-0.224728645,0.001616056,117.7483715,0.018519539,0.001640542,375.16193,-1.58E-15,0.368147673,9.32E-05,2.88E-08,2.78E-16,0.356735911,9.29E-05,3.09E-08,42.294,85,42.294,81,186.5225008,182.6300844
UC4D2620024T00A5002+01AA01911+5,92.2470837,-0.299953016,0.001725594,180.4969845,-0.113980234,0.001656073,380.227575,2.33E-15,0.369007419,9.19E-05,2.70E-08,1.42E-15,0.349430711,8.57E-05,2.80E-08,44.8,81,42.294,82,186.7118864,179.4940042
